iter	Passed	Remaining
401	16172	11988
402	16214	11949
403	16254	11909
404	16294	11868
405	16334	11828
406	16376	11789
407	16442	11767
408	16490	11732
409	16506	11675
410	16547	11635
411	16587	11595
412	16626	11554
413	16666	11513
414	16705	11472
415	16744	11431
416	16783	11390
417	16829	11354
418	16871	11314
419	16921	11281
420	16976	11250
421	17026	11216
422	17070	11178
423	17113	11139
424	17154	11099
425	17200	11063
426	17243	11024
427	17287	10986
428	17325	10944
429	17362	10901
430	17399	10859
431	17436	10816
432	17473	10774
433	17516	10736
434	17560	10697
435	17603	10659
436	17647	10620
437	17689	10581
438	17726	10539
439	17781	10506
440	17830	10472
441	17881	10437
442	17926	10399
443	17973	10363
444	18015	10323
445	18057	10283
446	18101	10245
447	18144	10206
448	18192	10169
449	18240	10133
450	18286	10095
451	18325	10054
452	18365	10013
453	18406	9973
454	18450	9934
455	18494	9896
456	18538	9857
457	18580	9817
458	18620	9776
459	18660	9736
460	18703	9696
461	18747	9657
462	18791	9619
463	18835	9580
464	18876	9539
465	18915	9498
466	18955	9457
467	18995	9416
468	19034	9375
469	19077	9335
470	19119	9295
471	19172	9261
472	19208	9218
473	19245	9176
474	19284	9134
475	19321	9092
476	19358	9050
477	19397	9009
478	19434	8966
479	19471	8924
480	19509	8882
481	19546	8840
482	19584	8798
483	19621	8756
484	19659	8715
485	19697	8673
486	19734	8631
487	19772	8589
488	19812	8548
489	19850	8507
490	19888	8465
491	19930	8425
492	19974	8386
493	20024	8350
494	20071	8312
495	20114	8272
496	20153	8231
497	20193	8191
498	20232	8149
499	20270	8108
500	20308	8066
501	20348	8025
502	20385	7984
503	20425	7943
504	20466	7902
505	20506	7862
506	20545	7821
507	20584	7780
508	20630	7741
509	20669	7700
510	20710	7659
511	20754	7620
512	20810	7585
513	20857	7547
514	20900	7507
515	20943	7468
516	20986	7428
517	21027	7388
518	21072	7349
519	21115	7309
520	21158	7269
521	21201	7229
522	21247	7190
523	21296	7153
524	21342	7114
525	21384	7074
526	21424	7033
527	21463	6991
528	21500	6950
529	21540	6909
530	21584	6869
531	21628	6830
532	21670	6789
533	21712	6749
534	21751	6708
535	21792	6667
536	21831	6626
537	21872	6586
538	21911	6544
539	21948	6503
540	21988	6462
541	22033	6423
542	22081	6384
543	22124	6344
544	22178	6307
545	22226	6269
546	22270	6229
547	22311	6188
548	22354	6148
549	22400	6109
550	22446	6069
551	22491	6030
552	22536	5990
553	22580	5950
554	22623	5910
555	22665	5870
556	22721	5833
557	22764	5793
558	22812	5754
559	22856	5714
560	22899	5673
561	22940	5633
562	22980	5591
563	23021	5551
564	23062	5510
565	23102	5469
566	23143	5428
567	23183	5387
568	23222	5346
569	23260	5305
570	23298	5263
571	23336	5222
572	23378	5181
573	23421	5141
574	23462	5100
575	23503	5059
576	23543	5018
577	23582	4977
578	23621	4936
579	23664	4896
580	23707	4855
581	23749	4815
582	23792	4774
583	23836	4734
584	23878	4694
585	23920	4653
586	23964	4613
587	24009	4573
588	24066	4535
589	24120	4496
590	24164	4456
591	24206	4416
592	24246	4374
593	24284	4333
594	24322	4292
595	24362	4251
596	24401	4210
597	24441	4168
598	24483	4128
599	24524	4087
600	24566	4046
601	24603	4005
602	24642	3964
603	24683	3923
604	24724	3882
605	24766	3841
606	24812	3801
607	24854	3760
608	24894	3719
609	24935	3679
610	24976	3638
611	25015	3597
612	25055	3556
613	25096	3515
614	25134	3473
615	25173	3432
616	25211	3391
617	25252	3350
618	25291	3309
619	25329	3268
620	25368	3227
621	25405	3185
622	25444	3144
623	25483	3103
624	25521	3062
625	25560	3021
626	25598	2980
627	25638	2939
628	25678	2898
629	25719	2857
630	25760	2816
631	25806	2776
632	25847	2735
633	25886	2694
634	25924	2653
635	25965	2612
636	26006	2572
637	26044	2530
638	26086	2490
639	26125	2449
640	26164	2408
641	26203	2367
642	26242	2326
643	26281	2285
644	26320	2244
645	26358	2203
646	26398	2162
647	26439	2121
648	26479	2080
649	26519	2039
650	26557	1998
651	26595	1957
652	26636	1917
653	26676	1876
654	26715	1835
655	26754	1794
656	26796	1753
657	26840	1713
658	26879	1672
659	26918	1631
660	26958	1590
661	26996	1549
662	27038	1508
663	27078	1468
664	27116	1427
665	27156	1386
666	27197	1345
667	27237	1304
668	27277	1263
669	27316	1223
670	27369	1182
671	27406	1141
672	27444	1101
673	27484	1060
674	27522	1019
675	27565	978
676	27604	937
677	27644	897
678	27684	856
679	27722	815
680	27767	774
681	27807	733
682	27848	693
683	27886	652
684	27926	611
685	27966	570
686	28004	529
687	28043	489
688	28084	448
689	28123	407
690	28162	366
691	28200	326
692	28240	285
693	28283	244
694	28324	203
695	28364	163
696	28405	122
697	28445	81
698	28486	40
699	28525	0
