iter	Logloss
0	0.6814994312
1	0.6704374884
2	0.6600249846
3	0.6498026948
4	0.6405012149
5	0.6313443263
6	0.6226091286
7	0.6141483987
8	0.6062382074
9	0.5986495181
10	0.5916802247
11	0.5848892769
12	0.5780289916
13	0.5715862434
14	0.5654240202
15	0.5593329497
16	0.5537351213
17	0.5484111008
18	0.5432871287
19	0.5386364744
20	0.5339475935
21	0.5294791257
22	0.5252734259
23	0.521122758
24	0.5172332008
25	0.513618633
26	0.5102052821
27	0.5067424351
28	0.503592183
29	0.5006031185
30	0.4976444763
31	0.4946792804
32	0.491948387
33	0.4893557618
34	0.4869540554
35	0.4844306709
36	0.4822683433
37	0.47997253
38	0.477857167
39	0.4758098201
40	0.473908785
41	0.47204494
42	0.4703722681
43	0.4687773826
44	0.4671224497
45	0.4655247996
46	0.4641067096
47	0.4628918403
48	0.4615938556
49	0.4601866676
50	0.4588721544
51	0.457615028
52	0.4564719698
53	0.4554840681
54	0.4543845994
55	0.4532939921
56	0.4522276852
57	0.4512732713
58	0.4504432356
59	0.449543257
60	0.4487123829
61	0.4479262915
62	0.4471656975
63	0.4464118767
64	0.445598333
65	0.4448647718
66	0.444188987
67	0.4435954044
68	0.4429414798
69	0.4423304355
70	0.4417441802
71	0.4412355474
72	0.4407316933
73	0.4402587198
74	0.439694379
75	0.4390920301
76	0.4386307232
77	0.4381492851
78	0.4376879302
79	0.4372258168
80	0.4368104529
81	0.4363534983
82	0.435971944
83	0.4356323573
84	0.4351217993
85	0.4347814033
86	0.4344573262
87	0.4340880844
88	0.4337368944
89	0.4334061292
90	0.4331353167
91	0.4328411642
92	0.4325025212
93	0.4322413662
94	0.4319976637
95	0.4317025123
96	0.431333528
97	0.4310093465
98	0.4307159396
99	0.4305030807
100	0.430219287
101	0.4299594895
102	0.4297494793
103	0.4294865289
104	0.4292332999
105	0.4289932036
106	0.428768549
107	0.4285215679
108	0.4283285492
109	0.4280939046
110	0.427908197
111	0.4277500259
112	0.4275575814
113	0.4273850245
114	0.427229487
115	0.4270730147
116	0.4268680736
117	0.4266576968
118	0.4264884888
119	0.4263687055
120	0.4261995736
121	0.4260551011
122	0.4259389034
123	0.4257594569
124	0.4255945716
125	0.4254508675
126	0.4253055143
127	0.4251627489
128	0.4250279939
129	0.4248968493
130	0.4248045739
131	0.4246611648
132	0.4244857535
133	0.4243623632
134	0.4242525753
135	0.4241323634
136	0.4240628068
137	0.4239378539
138	0.4237798405
139	0.4236871714
140	0.42359199
141	0.4234850476
142	0.4233616735
143	0.4232528698
144	0.4231706421
145	0.4231299138
146	0.4229646387
147	0.4228772433
148	0.4227763112
149	0.4226836183
150	0.4225804446
151	0.4224972948
152	0.4224161132
153	0.4223210951
154	0.4222085774
155	0.4220618963
156	0.4219370992
157	0.4218427537
158	0.4217045456
159	0.4215749289
160	0.4214565236
161	0.4213817956
162	0.4213326251
163	0.4212437659
164	0.4211722924
165	0.4211049556
166	0.4210361233
167	0.4209649978
168	0.4208943912
169	0.4207907396
170	0.4206997591
171	0.4205750439
172	0.4204728689
173	0.420379803
174	0.420274985
175	0.4201819813
176	0.4200964012
177	0.4200332477
178	0.4199521683
179	0.4199054394
180	0.4197935809
181	0.4196795636
182	0.4196356945
183	0.4195630655
184	0.4194726809
185	0.4194183797
186	0.4193425408
187	0.4192744057
188	0.4191744844
189	0.4190710887
190	0.4189576714
191	0.418847187
192	0.4187102899
193	0.4186775916
194	0.4186164998
195	0.4185398224
196	0.4184454808
197	0.4183454893
198	0.4182605075
199	0.4182184169
200	0.4181084084
201	0.4180510071
202	0.4179322292
203	0.4178373644
204	0.4177631128
205	0.4176679026
206	0.4176051391
207	0.4175265297
208	0.4174645294
209	0.4173726349
210	0.4173398872
211	0.4172742557
212	0.4172375816
213	0.4171500813
214	0.4170915003
215	0.4170251054
216	0.4169621691
217	0.4168742994
218	0.416806005
219	0.4167230293
220	0.416664524
221	0.41661794
222	0.4165733549
223	0.4165269405
224	0.4164484856
225	0.4163846172
226	0.416323977
227	0.4162888432
228	0.4161980868
229	0.4161439216
230	0.4160894107
231	0.416065314
232	0.4160334301
233	0.4159708417
234	0.4159161814
235	0.4158390622
236	0.4157559524
237	0.4156772974
238	0.4156077947
239	0.4155541951
240	0.4154836983
241	0.415439138
242	0.4153943718
243	0.4153335758
244	0.4152691186
245	0.4151887235
246	0.4151396366
247	0.4150586956
248	0.4150316941
249	0.4149728667
250	0.4149308429
251	0.4148681394
252	0.4148173782
253	0.4147828
254	0.4147454425
255	0.4147015668
